genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Anime,Kenji Kawai,Kana,4KbRlifvb4Y3JNKzYgwE9l,12,0.941,0.154,135333.0,0.119,0.0975,E,0.176,-18.3,Major,0.0368,105.228,3/4,0.15
R&B,ford.,Lazy Sad,4MGH4vTj4vwbxUhZ5CiZto,43,0.221,0.595,210674.0,0.462,0.00151,A,0.109,-6.816,Major,0.0545,89.975,4/4,0.0922
Folk,Saint Raymond,Oh Brother,0906LvCabevaBnZ3kAPovX,55,0.0883,0.644,192749.0,0.645,5.76e-05,C,0.163,-7.083,Major,0.0274,123.029,4/4,0.264
Rap,Wyclef Jean,Sweetest Girl (Dollar Bill),4liGjmhCupa7RP9JaQELYx,59,0.0772,0.733,241133.0,0.744,0.0,C#,0.341,-3.51,Major,0.0553,92.515,4/4,0.529
Reggaeton,Guaco,Quiero Decirte (En Vivo),3xHa0sSafOt8EB9qfCHIB5,25,0.112,0.682,323783.0,0.904,0.0,D,0.776,-8.696,Major,0.049,99.953,4/4,0.892
Electronic,Cocteau Twins,Bluebeard,4kxpoNJE8r3LgsSzEqaEDU,35,0.00713,0.471,237267.0,0.692,0.0,E,0.306,-9.611,Major,0.033,94.898,4/4,0.472
Electronic,Ten Walls,Walking With Elephants,6wPMapHawG4uns1R3vHzUG,58,0.00627,0.78,325521.0,0.633,0.892,A,0.0612,-6.81,Minor,0.0424,120.007,4/4,0.582
Pop,Tyga,Dip,2qfR91VvO7hRp4IajDT08h,72,0.0152,0.877,127200.0,0.562,0.0,A,0.0933,-7.096,Major,0.26,99.977,4/4,0.376
Folk,America,A Horse with No Name,54eZmuggBFJbV7k248bTTt,77,0.686,0.654,252240.0,0.506,0.0155,B,0.155,-17.18,Minor,0.0535,123.179,4/4,0.831
Jazz,Johnny Pacheco,Quimbara,7dFWvedJ3RKdVSdPlzU3h3,46,0.674,0.6,288280.0,0.713,0.000248,E,0.0628,-5.592,Minor,0.0737,119.674,4/4,0.964
Alternative,Jack White,Love Interruption,3s3ciLHOXE1xVqGkdxwHPs,46,0.645,0.582,157973.0,0.365,1.03e-06,A,0.147,-11.04,Major,0.0388,93.855,4/4,0.312
Comedy,Richard Pryor,Wino Dealing With Dracula,6uH1AhxRrhht4abJzUruNx,17,0.857,0.468,126800.0,0.898,4.06e-05,B,0.852,-10.302,Major,0.947,86.749,3/4,0.224
Ska,The Supervillains,Jumpin' Beans,0fnp25u2VrooXHzHX0bW66,15,0.00194,0.477,146880.0,0.665,0.000199,C,0.083,-12.956,Minor,0.089,116.744,4/4,0.515
Blues,Joe Bonamassa,Love Ain't a Love Song,50ttL5XmiGyYscxnJKJy2R,32,0.000744,0.471,228520.0,0.944,0.000587,A#,0.193,-4.673,Minor,0.0686,94.414,4/4,0.763
Dance,Beyoncé,Naughty Girl,0YGQ3hZcRLC5YX7o0hdmHg,61,0.237,0.588,208573.0,0.461,1.54e-05,F#,0.0913,-8.686,Minor,0.161,200.053,4/4,0.659
Electronic,The Orb,Kan Kan,0ZtugxRpjH7B2by2pgQwrE,0,3.6e-05,0.696,283800.0,0.651,0.882,C#,0.161,-12.914,Major,0.0394,122.002,4/4,0.488
Indie,Dizzy Wright,Killem With Kindness,3LDvLibID9j32PoWnT6v80,64,0.0309,0.705,208273.0,0.611,0.0,D,0.0903,-6.772,Minor,0.236,87.996,4/4,0.596
Folk,Sleeping At Last,When It Don't Come Easy,7rPlRERIWJ7YeASsTuHPK8,52,0.973,0.386,254932.0,0.184,0.0,C,0.144,-11.035,Major,0.0518,90.541,4/4,0.237
Hip-Hop,Mike Stud,It Ain't Safe,2D9vXwPW1U7az2AYDvZsej,53,0.445,0.718,175980.0,0.457,0.000243,C,0.0998,-8.252,Major,0.0372,99.921,4/4,0.496
