bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
33439,Strawberry Shortcake Murder (Hannah Swensen  #2),Joanne Fluke,3.85,1575667215,9781575667218,eng,320,14668,881,2/2/2002,Kensington
1537,The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles/Paul Roche,3.97,0452011671,9780452011670,eng,288,553,46,5/1/1996,Plume
32330,Air Gear  Vol. 1 (Air Gear  #1),Oh! Great/大暮 維人,3.92,0345492781,9780345492784,eng,224,1875,37,7/25/2006,Del Rey
24010,"Laguna  I Love You: The Best of ""Our Town""",John Weld/Phil Interlandi,0.0,1564741575,9781564741578,eng,285,0,0,3/1/1996,Fithian Press
6544,The Scarpetta Collection: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4),Patricia Cornwell,4.16,074325581X,9780743255813,eng,672,30,2,11/11/2003,Scribner
1365,The Histories,Herodotus/Carolyn Dewald/Robin Waterfield,3.99,0192824252,9780192824257,eng,772,271,41,11/19/1998,Oxford University Press
3774,The Subterraneans,Jack Kerouac,3.68,0141184892,9780141184890,eng,192,426,42,9/6/2007,Penguin Books Ltd
45169,Step on a Crack (Michael Bennett  #1),James Patterson/Michael Ledwidge,4.01,0316013943,9780316013949,eng,383,37552,1592,2/6/2007,Little Brown and Company
33751,Die Naschkatzen,Jennifer Crusie,3.94,3442448964,9783442448968,ger,480,15,1,4/1/2001,Goldmann Verlag
12564,Sometimes a Great Notion,Ken Kesey/Charles Bowden,4.17,0143039865,9780143039860,eng,715,577,80,8/29/2006,Penguin Classics
5089,A Short History of Nearly Everything (Illustrated Edition),Bill Bryson,4.21,0385663552,9780385663557,eng,624,28,7,10/5/2010,Anchor Canada
26327,The Power of Truth: A Leading with Emotional Intelligence Conversation with Warren Bennis,Daniel Goleman/Warren Bennis,3.82,1593979746,9781593979744,eng,0,11,2,11/14/2006,Macmillan Audio
15438,Firefly,Piers Anthony,3.25,0380759500,9780380759507,eng,466,2420,128,3/1/1992,Avon Books
14693,The Sword of Welleran and Other Stories,Lord Dunsany/Sidney H. Sime,4.01,0486442179,9780486442174,eng,112,328,41,4/1/2005,Dover Publications
36956,Grizzwold,Syd Hoff,3.82,0064440575,9780064440578,eng,64,214,23,9/5/1984,HarperCollins
22802,犬夜叉 22,Rumiko Takahashi,4.25,4091256422,9784091256423,jpn,192,13,1,8/9/2001,小学館
